"title","school","location","description","degree","pace","duration","languages","start","based"
"Master of Science in Data Analytics Engineering","George Mason University Online","Fairfax,USA","Gain the deep statistical knowledge and technical savviness you need to advance to data scientist, engineer and analyst roles. You'll learn to deliver a process that transform                                            ...                                                    +                        ","MSc","Part-time","","English","Sep 2020","Online"
"MSc in Data Analytics","QUB Faculty of Engineering and Physical Sciences (EPS)","Belfast,UnitedKingdom","Data Analytics is an exciting field of rapid developments. Data is everywhere and continuing to grow massively, creating huge growth in demand for qualified experts to be able                                            ...                                                    +                        ","MSc","Full-time","","English","","Campus"
"Edinburgh Napier University Online Masters in Data Science (MSc)","Stafford -  Edinburgh Napier University","Edinburgh,UnitedKingdom","The Online Masters in Data Science from Edinburgh Napier University UK teaches critical data tools and techniques, using live data and software to teach how to mine, report an                                            ...                                                    +                        ","MSc","Part-time","","English","","Online"
"MSc in Data Science","Heriot-Watt University Dubai","AcademicCity,UnitedArabEmirates","You will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them. The c                                            ...                                                    +                        ","MSc","Full-time","","English","Jan 2020","Campus"
"Applied MSc in Data Engineering for Artificial Intelligence","Data ScienceTech Institute","Biot,France+1More","This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Engineering jo                                            ...                                                    +                        ","MSc","Online & Campus Combined","","English","11 Feb 2020","Online & Campus Combined"
"Applied MSc in Data Science & Artificial Intelligence","Data ScienceTech Institute","Biot,France+1More","This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Analytics jobs                                            ...                                                    +                        ","MSc","Online & Campus Combined","","English","16 Mar 2020","Online & Campus Combined"
"Master of Science in Business Intelligence and Data Analytics","Saint Mary's University of Minnesota Online","Winona,USA","Master your use of big data, presentation, and business to explain the relationship between organizational problems and strategizing successful solutions. Affordable, convenie                                            ...                                                    +                        ","MSc","Full-time","","English","","Online"
"MSc in Big Data Science and Technology","University of Bradford","Bradford,UnitedKingdom","This programme will deepen your understanding of advanced software development, systems for big data analytics, statistical data analysis, data mining, data privacy and securi                                            ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Campus"
"MSCS - Security Analyst specialization","EC-Council University","Albuquerque,USA","The Security Analyst specialization focuses on testing methods and techniques to effectively identify and mitigate risks to the security of a company’s infrastructure while pr                                            ...                                                    +                        ","MSc","Full-time","2 years","English","06 Apr 2020","Online"
"Online Accredited Master in Machine Learning and Data Analysis at € 199 instead of € 1000 [Last 3 places available]","Life Learning","Milan,Italy","This master has only one focus: to enable those who follow it to use the Machine Learning in R. Everything then orbits around the goal of allowing students to realize their mo                                            ...                                                    +                        ","Master","Full-time","","Italian","","Online"
"MSc in Logistics, Data Analytics and Supply Chain Management","University of Bradford","Bradford,UnitedKingdom","Our new Master’s programme in Logistics, Data Analytics and Supply Chain Management is designed for those considering broadening their knowledge beyond their existing discipli                                            ...                                                    +                        ","MSc","Full-time","12 - 15 months","English","Sep 2020","Campus"
"Master of Science in Computer, Communication and Information Sciences - Machine Learning, Data Science and Artificial Intelligence","Aalto University","Espoo,Finland","Machine learning is one of the strong points of Aalto University. This solid education in modern computational data analysis gives you excellent opportunities for a career in                                             ...                                                    +                        ","MSc","Full-time","2 years","English,Finnish,Swedish","","Campus"
"Master in Big Data and Analytics","OBS Business School","Barcelona,Spain","The Master in Big Data and Analytics was born as a result of the union between the extensive experience in training and research, in the field of technology, which characteriz                                            ...                                                    +                        ","Master","Full-time","12 months","Spanian","May 2020","Online"
"Master of Computer Science (M.Sc.)","University of Antwerp","Antwerp,Belgium","This Master’s program focusses on developing skills for research and development in computer science. Students get first-hand experience in a challenging, creative, dynamic an                                            ...                                                    +                        ","MSc","Full-time","2 years","English","Sep 2020","Campus"
"Master of Science in Data Science: Business Analytics","Utica College Online","Utica,USA","The Online MS in Data Science - Business Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core                                            ...                                                    +                        ","MSc","Part-time","20 months","English","","Online"
"Master of Science in Data Science","Utica College Online","Utica,USA","The Online MS in Data Science teaches students how to analyze and leverage big data to gain valuable insights that can lead to innovative ideas and solutions in a variety of f                                            ...                                                    +                        ","MSc","Part-time","20 months","English","","Online"
"Master of Science in Data Science: Social Science Analytics","Utica College Online","Utica,USA","The Online MS in Data Science - Social Science Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields                                            ...                                                    +                        ","MSc","Part-time","20 months","English","","Online"
"Master of Science in Data Science: Financial Crime","Utica College Online","Utica,USA","The Online MS in Data Science – Financial Crime teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core co                                            ...                                                    +                        ","MSc","Part-time","20 months","English","","Online"
"Master of Science in Data Science: Cybersecurity","Utica College Online","Utica,USA","The Online MS in Data Science - Cybersecurity teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core cour                                            ...                                                    +                        ","MSc","Part-time","20 months","English","","Online"
"Master of Science (M.Sc In) Data Science and Business Analysis","EDC Paris Business School","Paris,France","Our course philosophy is to educate young professionals to become leaders with an entrepreneurial spirit through a focus on business development, new venture creation, transdi                                            ...                                                    +                        ","MSc","Full-time","","Frensh","Sep 2020","Campus"
"MA in Data, Culture and Society","University of Westminster","London,UnitedKingdom","We live in an age where almost everything of what we do is connected to data. Big data and datafication - the increasing transformation of multiple aspects of everyday lives i                                            ...                                                    +                        ","MA","Full-time","","English","","Campus"
"MS in Data Science - Computer Science","Lewis University Online","Romeoville,USA","Customize your online MS in Data Science degree with a concentration in Computer Science. This concentration approaches data analysis from a programming perspective and prepar                                            ...                                                    +                        ","MSc","Part-time","2 years","English","Sep 2020","Online"
"MS in Data Science","Lewis University Online","Romeoville,USA","Discover the meaning within big data with an online MS in Data Science. Customize your education and choose from 2 concentration options in Computational Biology & Bioinfo                                            ...                                                    +                        ","MSc","Part-time","2 years","English","Sep 2020","Online"
"MS in Data Science - Computational Biology and Bioinformatics","Lewis University Online","Romeoville,USA","Customize your online MS in Data Science degree with a concentration in Computational Biology and Bioinformatics. This concentration looks at data analysis from the perspectiv                                            ...                                                    +                        ","MSc","Part-time","2 years","English","Sep 2020","Online"
"Online Master of Data Science","James Cook University Online","AustraliaOnline,Australia","Are you looking to leverage expert knowledge of data science to propel your career in business or research? James Cook University’s Master of Data Science is an innovative, fu                                            ...                                                    +                        ","Master","Part-time","24 months","English","Jan 2020","Online"
"MSc in Simulation and Data Science","The Cyprus Institute","Nicosia,Cyprus","Simulation and Data Science is a unique course in Cyprus that combines Simulation with the new field of Data Science. As computers speed up and instruments and sensors become                                             ...                                                    +                        ","MSc","Full-time","","English","Oct 2020","Campus"
"Master in Data Science and Business Analytics for Professionals","IMF Business School","Madrid,Spain","IMF Business School , in collaboration with the Nebrija University, launches the Master in Data Science and Business Analytics for professionals. This program aims to provide                                             ...                                                    +                        ","Master","Full-time","","Spanish","","Campus"
"Master in Business Intelligence and Data Science","Innovation & Entrepreneurship Business School","Barcelona,Spain","In this Master in Business Intelligence and Data Science you will learn in a practical way to use all the tools that Big Data and Business Intelligence provide us to make stra                                            ...                                                    +                        ","Master","Part-time","750 hours","Spanian,Spanish","","Online"
"MSc Information Systems & Data Management","Botswana International University Of Science And Technology","Palapye,Botswana","MSc Thesis Research in Information Systems & Data Management                                    ","MSc","","","English","Feb 2020","Campus"
"MSc in Data Science for Business (Online)","University of Stirling","Stirling,UnitedKingdom","Take your place on the cutting edge of today’s evolving business landscape with our online MSc in Data Science for Business. The course equips you to become a data-driven lead                                            ...                                                    +                        ","MSc","Part-time","28 months","English","Sep 2020","Online"
"MSc in Finance and Data Analytics","University of Stirling","Stirling,UnitedKingdom","As the modern financial industry increasingly turns to big data to inform investment decisions, there is a growing demand for professionals with a specialisation in data analy                                            ...                                                    +                        ","MSc","Full-time","12 months","English","14 Sep 2020","Campus"
"Master's Degree in Big Data Analysis and Visualization / Visual Analytics & Big Data","UNIR","Logroño,Spain","The Master in Big Data online will train you as a professional of BIG DATA, one of the most demanded professions in 2018 according to the Wanted of the Adecco Group, capable o                                            ...                                                    +                        ","Master","Part-time","","Spanian","","Online"
"Master in Software and Data Engineering","Charles University Faculty of Mathematics and Physics","Prague,CzechRepublic","The study branch Software and Data Engineering aims at expertise in the analysis, design, and development of complex software solutions and systems focused on big data process                                            ...                                                    +                        ","MSc","Full-time","2 years","English","","Campus"
"Master in Finance: Duisenberg Honours Programme in Finance and Technology","Vrije Universiteit Amsterdam","Amsterdam,Netherlands","Data science: a shock to the financial system, or its biggest opportunity? The availability of big data, in combination with rapidly increasing computing power, is uncovering                                             ...                                                    +                        ","Master","Full-time","","English","","Campus"
"Master in Econometrics and Operations Research: Marketing Data Science","Vrije Universiteit Amsterdam","Amsterdam,Netherlands","Marketing Data Science is a specialization of the Econometrics and Operations Research master's program. This hands-on study into econometric methods for analyzing marketing d                                            ...                                                    +                        ","Master","Full-time","","English","","Campus"
"Master in Econometrics and Operations Research: Econometrics and Data Science","Vrije Universiteit Amsterdam","Amsterdam,Netherlands","In our specialization Econometrics and Data Science of the Econometrics and Operations Research master's program, we welcome you in the fast-developing world of econometrics a                                            ...                                                    +                        ","Master","Full-time","","English","","Campus"
"Master in Data and Design","ELISAVA Barcelona School of Design and Engineering","Barcelona,Spain","How can we make information transcendent for humans? In the Master in Data and Design you will learn to design the way of understanding the world. The Master in Data and Desig                                            ...                                                    +                        ","Master","Full-time","","English","18 Sep 2020","Campus"
"MicroMasters Program in Algorithms and Data Structures (The University of California, San Diego)","edX","Cambridge,USA","Master algorithmic programming techniques necessary for top software engineering professions.                                    ","Master","Full-time","24 weeks","English","","Online"
"MicroMasters Program in Data Science (UC San Diego)","edX","Cambridge,USA","Gain the critical skills needed to become a data scientist, rated one of the best jobs in America and in demand globally.                                    ","Master","Full-time","40 weeks","English","Sep 2020","Online"
"MicroMasters Program in Statistics and Data Science (Massachusetts Institute of Technology)","edX","Cambridge,USA","This MicroMasters program in Statistics and Data Science is comprised of four online courses and a virtually proctored exam that will provide you with the foundational knowled                                            ...                                                    +                        ","Master","Full-time","60 weeks","English","","Online"
"Online Master in Analytics (Georgia Tech)","edX","Cambridge,USA","The Georgia Tech Online Master of Science in Analytics (OMS Analytics) is a multidisciplinary degree in collaboration with Georgia Tech’s College of Engineering, College of Co                                            ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Online"
"Online Master in Data Science (The University of California, San Diego)","edX","Cambridge,USA","UCSD’s Master of Data Science will give you the skills required to become a successful data scientist. Through a rigorous curriculum developed by the world’s topmost experts i                                            ...                                                    +                        ","Master","Full-time","","English","Sep 2020","Online"
"MS in Data Analytics","College of Saint Elizabeth","Morristown,USA","The Master of Science in Data Analytics Program at CSE will prepare graduates with the knowledge and skill set necessary to become analytics and data science professionals. Th                                            ...                                                    +                        ","MSc","Part-time","12 months","","Sep 2020","Campus"
"Master of Science in Data Science and Economics","University of Milan","Milan,Italy","The Master of Science in “Data Science and Economics” (DSE) responds to the training needs of data scientists in the economic field. The course provides skills to analyze and                                             ...                                                    +                        ","MSc","Full-time","2 years","English","","Campus"
"Master of Data Science","McGovern Education Group","OklahomaCity,USA","The Master of Data Science is a master’s degree in data science, an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowled                                            ...                                                    +                        ","Master","Full-time","","English","Sep 2020","Campus"
"MSc Data Science (with Placement Year)","University of Bath","ClavertonDown,UnitedKingdom","Data science drives a significant proportion of global economic activity and is influencing scientific progress across numerous fields. This course provides you with the tools                                            ...                                                    +                        ","MSc","Full-time","2 years","English","","Campus"
"Master in Data Science","Université de Nantes","Nantes,France","Through this program, students will acquire the scientific and technological skills towards a data scientist profile within a computer science degree.                                    ","Master","Full-time","","English","Sep 2020","Campus"
"MSc in Data Management and Analytics","IGlobal University","Vienna,USA","The Master of Science in Information Technology (MSIT) program is designed to prepare students for the knowledge and skills essential to lead and manage small to large corpora                                            ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Campus"
"MSc in Statistics for Smart Data","ENSAI: National School for Statistics and Information Analysis","Rennes,France","ENSAI is taking advantage of its accreditation renewal to revamp the Master of Science in Big Data program to shift its focus to Smart Data. As a result, the existing program                                             ...                                                    +                        ","MSc","Full-time","2 semesters","English","Sep 2020","Campus"
"Master in Training in Industry 4.0 and Digital Transformation","UADIN Business School","SpainOnline,Spain","In UADIN, University of Development and Innovation, together with UDIMA, the distance University of Madrid, we want to contribute with an Integral Training for Industry 4.0 an                                            ...                                                    +                        ","Master","Full-time","","Spanian","Sep 2020","Online"
"MSc in Data-Driven Management","Thames Education Group Limited","London,UnitedKingdom","Would you like to apply data analysis tools and techniques to solve complex business problems? This programme helps you advance your career by teaching you how to communicate                                             ...                                                    +                        ","MSc","Full-time","","English","","Campus"
"MSc in Data Science and Business Analytics","University Bocconi","Milan,Italy+1More","This MSc is designed for students having a strong bent for Computational, Statistical, and Mathematical Sciences and a genuine interest in working with data. Students will be                                             ...                                                    +                        ","MSc","Full-time","2 years","English","","Campus"
"MSc in Computing (Data Analytics)","Princess Nourah Bint Abdulrahman University","Riyadh,SaudiArabia","This program opens up opportunities for students who envision to shine in their career prospect in data analytics in acquiring in-depth skills and knowledge to analyze, proces                                            ...                                                    +                        ","MSc","Full-time","4 semesters","English","Sep 2020","Campus"
"MSc in Professional Studies: Data Analytics","Rochester Institute of Technology (RIT) Dubai","Dubai,UnitedArabEmirates","This program prepares participants for successful careers helping organizations make better decisions through analytics. It prepares participants to work effectively with comp                                            ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Campus"
"Master of Science in Data Analytics","Johnson & Wales University","Providence,USA","In a world driven by increasingly vast and complex data, employees are needed to decipher that data quickly and efficiently to help companies make more-informed business decis                                            ...                                                    +                        ","MSc","","","English","Sep 2020","Campus"
"Master's Degree in Development Applications and Relational Data","PC Carrier","ACoruña,Spain","Programmers are undoubtedly the most demanded professionals in the ICT sector. With this Master's we teach from 0 to carry out the automation, creation of applications and sol                                            ...                                                    +                        ","Master","Online & Campus Combined","","Spanian","Sep 2020","Online & Campus Combined"
"Mastère Spécialisé® Expert in Big Analytics and Metrics","Université de technologie de Troyes - UTT","Troyes,France","Expert's objective in Big Analytics and Metrics is to design, develop and pilot innovative solutions to address the complexity of managing and analyzing these large amounts of                                            ...                                                    +                        ","Master","Full-time","","Frensh","","Campus"
"Intensive Master in Data Science","Nuclio Digital School","Barcelona,Spain","Developed a state-of-the-art curriculum and expert instructors for our 16-week full-time immersion program                                    ","Master","Part-time","16 weeks","Spanian","","Campus"
"Master in Computer Science","Mercy College","DobbsFerry,USA+3More","The Master of Science (M.S.) degree in Computer Science (CS) provides an innovative curriculum involving two specializations – Software Development and Data Science.                                    ","MSc","Online & Campus Combined","12 months","English","","Online & Campus Combined"
